"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2018","3,051.00","2,370.00","2,991.00","2,356.00","0.30K","17.12%"
"01/06/2018","2,605.00","3,066.00","3,114.00","2,584.00","0.15K","-21.44%"
"01/05/2018","3,316.00","3,266.00","3,571.00","3,142.00","1.95K","0.06%"
"01/04/2018","3,314.00","3,420.00","3,644.00","3,191.00","141.54K","-3.10%"
"01/03/2018","3,420.00","3,238.00","3,472.00","3,000.00","219.61K","11.73%"
"01/02/2018","3,061.00","3,191.00","3,200.00","2,991.00","0.02K","-4.25%"
"01/01/2018","3,197.00","3,200.00","3,219.00","3,171.00","0.00K","-7.33%"
"01/12/2017","3,450.00","3,450.00","3,450.00","3,450.00","","0.00%"
"01/11/2017","3,450.00","3,450.00","3,450.00","3,450.00","","1.77%"
"01/10/2017","3,390.00","3,390.00","3,390.00","3,390.00","","0.00%"
"01/09/2017","3,390.00","3,390.00","3,390.00","3,390.00","0.00K","-4.78%"
"01/08/2017","3,560.00","3,560.00","3,560.00","3,560.00","","0.00%"
"01/07/2017","3,560.00","3,560.00","3,560.00","3,560.00","","-7.65%"
"01/06/2017","3,855.00","3,855.00","3,855.00","3,855.00","","0.00%"
"01/05/2017","3,855.00","3,855.00","3,855.00","3,855.00","","-1.36%"
"01/04/2017","3,908.00","3,908.00","3,908.00","3,908.00","","0.00%"
"01/03/2017","3,908.00","4,444.00","4,444.00","3,908.00","0.00K","-8.05%"
"01/02/2017","4,250.00","4,000.00","4,250.00","4,000.00","0.00K","3.71%"
"01/01/2017","4,098.00","4,098.00","4,098.00","4,098.00","0.00K","-3.03%"
"01/12/2016","4,226.00","4,226.00","4,226.00","4,219.00","0.01K","3.81%"
"01/11/2016","4,071.00","3,850.00","4,046.00","3,800.00","0.02K","0.05%"
"01/10/2016","4,069.00","3,900.00","4,170.00","3,873.00","0.01K","6.94%"
"01/09/2016","3,805.00","3,805.00","3,805.00","3,805.00","","-2.86%"
"01/08/2016","3,917.00","3,917.00","3,917.00","3,917.00","","-0.71%"
"01/07/2016","3,945.00","4,002.00","4,280.00","3,927.00","0.03K","-2.38%"
"01/06/2016","4,041.00","3,780.00","4,186.00","3,780.00","0.09K","8.89%"
"01/05/2016","3,711.00","3,534.00","3,750.00","3,412.00","0.07K","11.95%"
"01/04/2016","3,315.00","3,290.00","3,417.00","3,173.00","0.02K","-0.15%"
"01/03/2016","3,320.00","3,280.00","3,349.00","3,080.00","0.02K","3.85%"
"01/02/2016","3,197.00","3,197.00","3,197.00","3,197.00","","0.00%"
"01/01/2016","3,197.00","3,197.00","3,197.00","3,197.00","","-0.09%"
"01/12/2015","3,200.00","3,300.00","3,300.00","3,200.00","0.00K","-1.54%"
"01/11/2015","3,250.00","3,158.00","3,299.00","3,126.00","0.03K","9.06%"
"01/10/2015","2,980.00","3,199.00","3,200.00","2,980.00","0.01K","-3.93%"
"01/09/2015","3,102.00","2,905.00","3,250.00","2,903.00","0.04K","6.56%"
"01/08/2015","2,911.00","2,876.00","2,978.00","2,789.00","0.55K","0.48%"
"01/07/2015","2,897.00","3,200.00","3,200.00","2,878.00","0.12K","-9.47%"
"01/06/2015","3,200.00","2,910.00","3,200.00","2,851.00","0.05K","8.47%"
"01/05/2015","2,950.00","3,100.00","3,450.00","2,841.00","0.05K","-10.52%"
"01/04/2015","3,297.00","3,224.00","3,305.00","3,179.00","0.14K","2.61%"
"01/03/2015","3,213.00","3,200.00","3,229.00","3,185.00","0.05K","2.00%"
"01/02/2015","3,150.00","3,250.00","3,289.00","3,120.00","0.01K","-3.99%"
