"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2020","1,310.25","1,169.62","1,320.60","1,142.62","","12.11%"
"11/01/2020","1,168.75","1,060.25","1,199.62","1,041.62","","10.58%"
"10/01/2020","1,056.88","1,023.38","1,093.88","1,013.00","","3.44%"
"09/01/2020","1,021.75","950.62","1,046.50","942.88","","7.27%"
"08/01/2020","952.50","891.75","966.88","865.38","","6.16%"
"07/01/2020","897.25","883.75","909.75","870.62","","1.61%"
"06/01/2020","883.00","844.00","891.00","834.12","","5.06%"
"05/01/2020","840.50","854.88","861.12","828.62","","-1.75%"
"04/01/2020","855.50","885.75","886.88","808.38","","-3.39%"
"03/01/2020","885.50","891.88","912.25","821.12","","-0.85%"
"02/01/2020","893.12","871.12","902.00","868.88","","2.35%"
"01/01/2020","872.62","943.50","954.50","872.38","","-7.51%"
"12/01/2019","943.50","876.62","943.50","867.62","","7.63%"
"11/01/2019","876.62","931.00","942.12","876.12","","-5.92%"
"10/01/2019","931.75","904.12","945.38","903.38","","3.04%"
"09/01/2019","904.25","866.38","906.62","851.12","","4.15%"
"08/01/2019","868.25","880.75","896.62","852.62","","-1.36%"
"07/01/2019","880.25","915.12","936.38","874.62","","-0.18%"
"06/01/2019","881.88","876.12","923.00","848.38","","0.41%"
"05/01/2019","878.25","853.62","892.62","791.38","","2.78%"
"04/01/2019","854.50","883.88","907.12","851.38","","-3.32%"
"03/01/2019","883.88","910.00","924.38","883.12","","-2.87%"
"02/01/2019","910.00","915.75","934.38","893.12","","-0.63%"
"01/01/2019","915.75","894.00","927.62","891.12","","2.43%"
"12/01/2018","894.00","919.25","928.00","867.00","","0.08%"
"11/01/2018","893.25","850.25","900.75","845.75","","4.90%"
"10/01/2018","851.50","845.00","892.00","840.00","","0.86%"
"09/01/2018","844.25","845.50","859.25","812.25","","-0.15%"
"08/01/2018","845.50","907.50","907.50","829.00","","-6.83%"
"07/01/2018","907.50","865.25","911.50","810.75","","5.19%"
"06/01/2018","862.75","1,020.00","1,026.50","842.50","","-15.38%"
"05/01/2018","1,019.50","1,049.00","1,055.50","992.50","","-2.77%"
"04/01/2018","1,048.50","1,046.00","1,067.50","983.50","","0.36%"
"03/01/2018","1,044.75","1,055.00","1,082.50","1,009.25","","-0.97%"
"02/01/2018","1,055.00","996.75","1,059.50","967.75","","5.84%"
"01/01/2018","996.75","967.50","1,004.75","944.50","","3.56%"
"12/01/2017","962.50","986.88","1,014.88","946.62","","-2.35%"
"11/01/2017","985.62","984.75","1,007.62","967.12","","0.10%"
"10/01/2017","984.62","967.38","1,003.12","952.62","","1.83%"
"09/01/2017","966.88","947.62","986.88","938.62","","2.14%"
"08/01/2017","946.62","988.50","992.62","917.38","","-5.18%"
"07/01/2017","998.38","956.62","1,032.62","956.12","","5.27%"
"06/01/2017","948.38","916.38","950.38","900.38","","3.55%"
"05/01/2017","915.88","961.88","988.50","909.62","","-4.31%"
"04/01/2017","957.12","946.38","971.88","929.88","","1.19%"
"03/01/2017","945.88","1,036.88","1,051.88","944.38","","-8.73%"
"02/01/2017","1,036.38","1,024.12","1,063.40","1,009.38","","1.15%"
"01/01/2017","1,024.60","1,005.40","1,079.90","992.75","","1.94%"
"12/01/2016","1,005.10","1,034.88","1,061.38","987.88","","-2.77%"
"11/01/2016","1,033.75","1,011.75","1,064.88","975.62","","2.16%"
"10/01/2016","1,011.88","952.75","1,019.88","937.38","","5.93%"
"09/01/2016","955.25","943.88","993.88","934.12","","1.42%"
"08/01/2016","941.88","1,009.88","1,041.12","938.12","","-7.60%"
"07/01/2016","1,019.38","1,177.25","1,178.50","973.75","","-13.19%"
"06/01/2016","1,174.25","1,075.25","1,207.75","1,068.62","","8.94%"
"05/01/2016","1,077.88","1,028.12","1,097.88","1,008.62","","4.66%"
"04/01/2016","1,029.88","909.88","1,046.12","901.12","","12.85%"
"03/01/2016","912.62","861.25","916.88","856.12","","5.98%"
"02/01/2016","861.12","882.88","889.88","859.63","","-2.41%"
"01/01/2016","882.38","863.13","887.88","852.38","","2.17%"
"12/01/2015","863.63","880.88","909.63","854.25","","-2.04%"
"11/01/2015","881.63","887.88","890.88","844.38","","-0.40%"
"10/01/2015","885.13","891.25","919.63","868.38","","-0.73%"
"09/01/2015","891.63","884.50","901.75","854.88","","0.51%"
"08/01/2015","887.13","950.38","1,009.13","871.13","","-6.92%"
"07/01/2015","953.13","1,048.00","1,054.75","937.88","","-9.07%"
"06/01/2015","1,048.25","931.63","1,051.13","921.63","","12.19%"
"05/01/2015","934.38","977.50","990.38","920.63","","-4.38%"
"04/01/2015","977.13","972.75","994.88","944.75","","0.46%"
"03/01/2015","972.63","1,030.13","1,038.88","953.63","","-5.60%"
"02/01/2015","1,030.38","961.38","1,037.88","959.13","","7.15%"
"01/01/2015","961.63","1,019.63","1,061.63","955.13","","-5.99%"
